time,SSR
1706140800,6.2
1706227200,6.18
1706486400,6.46
1706572800,6.66
1706659200,6.59
1706745600,6.51
1706832000,6.58
1707091200,6.49
1707177600,6.51
1707264000,6.57
1707350400,6.75
1707436800,6.88
1707696000,7.31
1707782400,7.56
1707868800,7.51
1707955200,7.82
1708041600,7.81
1708387200,7.76
1708473600,7.83
1708560000,7.76
1708646400,7.68
1708905600,7.73
1708992000,8.14
1709078400,8.49
1709164800,9.27
1709251200,9.05
1709510400,9.29
1709596800,10.02
1709683200,9.32
1709769600,9.64
1709856000,9.71
1710115200,9.88
1710201600,10.3
1710288000,10.17
1710374400,10.37
1710460800,10.08
1710720000,9.63
1710806400,9.51
1710892800,8.68
1710979200,9.49
1711065600,9.14
1711324800,9.34
1711411200,9.71
1711497600,9.71
1711584000,9.62
1711929600,9.86
1712016000,9.66
1712102400,9.06
1712188800,9.09
1712275200,9.38
1712534400,9.4
1712620800,9.71
1712707200,9.39
1712793600,9.6
1712880000,9.51
1713139200,8.9
1713225600,8.59
1713312000,8.62
1713398400,8.22
1713484800,8.49
1713744000,8.57
1713830400,8.81
1713916800,8.77
1714003200,8.47
1714089600,8.51
1714348800,8.32
1714435200,8.41
1714521600,8
1714608000,7.71
1714694400,7.8
1714953600,8.41
1715040000,8.31
1715126400,8.21
1715212800,8.06
1715299200,8.31
1715558400,8.11
1715644800,8.3
1715731200,8.12
1715817600,8.73
1715904000,8.6
1716163200,8.69
1716249600,9.37
1716336000,9.21
1716422400,9.1
1716508800,8.93
1716854400,9.13
1716940800,9
1717027200,8.91
1717113600,9
1717372800,8.9
1717459200,9.04
1717545600,9.27
1717632000,9.34
1717718400,9.28
1717977600,9.15
1718064000,9.14
1718150400,8.85
1718236800,8.96
1718323200,8.75
1718582400,8.74
1718668800,8.72
1718841600,8.49
1718928000,8.48
1719187200,8.25
1719273600,7.87
1719360000,8.06
1719446400,7.94
1719532800,8.06
1719792000,8.22
1719878400,8.24
1719964800,8.13
1720137600,7.46
1720396800,7.28
1720483200,7.39
1720569600,7.55
1720656000,7.51
1720742400,7.45
1721001600,7.9
1721088000,8.41
1721174400,8.43
1721260800,8.29
1721347200,8.27
1721606400,8.76
1721692800,8.69
1721779200,8.47
1721865600,8.39
1721952000,8.45
1722211200,8.75
1722297600,8.57
1722384000,8.51
1722470400,8.32
1722556800,8.43
1722816000,7.5
1722902400,6.94
1722988800,7.19
1723075200,7.05
1723161600,7.86
1723420800,7.46
1723507200,7.53
1723593600,7.69
1723680000,7.42
1723766400,7.26
1724025600,7.34
1724112000,7.47
1724198400,7.4
1724284800,7.67
1724371200,7.56
1724630400,8.02
1724716800,7.86
1724803200,7.43
1724889600,7.38
1724976000,7.42
1725321600,7.37
1725408000,7.18
1725494400,7.23
1725580800,7
1725840000,6.84
1725926400,7.1
1726012800,7.17
1726099200,7.12
1726185600,7.22
1726444800,7.31
1726531200,7.2
1726617600,7.47
1726704000,7.64
1726790400,7.79
1727049600,7.83
1727136000,7.79
1727222400,7.91
1727308800,7.77
1727395200,8.01
1727654400,8.04
1727740800,7.77
1727827200,7.5
1727913600,7.47
1728000000,7.48
1728259200,7.73
1728345600,7.66
1728432000,7.66
1728518400,7.48
1728604800,7.45
1728864000,7.76
1728950400,8.16
1729036800,8.29
1729123200,8.35
1729209600,8.32
1729468800,8.5
1729555200,8.3
1729641600,8.32
1729728000,8.24
1729814400,8.43
1730073600,8.38
1730160000,8.62
1730246400,8.96
1730332800,8.9
1730419200,8.64
1730678400,8.46
1730764800,8.34
1730851200,8.52
1730937600,9.24
1731024000,9.18
1731283200,9.6
1731369600,10.58
1731456000,10.48
1731542400,10.7
1731628800,10.25
1731888000,10.45
1731974400,10.52
1732060800,10.68
1732147200,10.87
