time,ExchangeNetflow
1621814400,10412.747
1621900800,9520.138788
1621987200,9233.469471
1622073600,8469.645405
1622160000,11531.34517
1622246400,12290.41414
1622332800,7624.552106
1622419200,8288.365866
1622505600,7683.095028
1622592000,6046.543408
1622678400,5991.138107
1622764800,8194.775345
1622851200,7313.702293
1622937600,5183.520493
1623024000,6693.226785
1623110400,10968.25291
1623196800,9786.863444
1623283200,7953.004961
1623369600,5668.356269
1623456000,6153.430286
1623542400,7947.765378
1623628800,9828.014398
1623715200,7466.725247
1623801600,7972.123259
1623888000,7793.903056
1623974400,7211.361512
1624060800,5600.905533
1624147200,7100.377553
1624233600,13620.64859
1624320000,14492.17413
1624406400,9779.352091
1624492800,6292.051335
1624579200,8644.095149
1624665600,8232.106197
1624752000,6201.738354
1624838400,6438.368545
1624924800,6179.982924
1625011200,5743.848897
1625097600,5862.197336
1625184000,4815.317963
1625270400,3265.356476
1625356800,2936.646204
1625443200,4088.83271
1625529600,4428.883106
1625616000,3816.911704
1625702400,4448.790157
1625788800,3403.29299
1625875200,3256.178257
1625961600,2894.439479
1626048000,4130.637066
1626134400,3618.29338
1626220800,4391.208287
1626307200,4230.018063
1626393600,3365.914147
1626480000,2862.812666
1626566400,3376.572807
1626652800,3381.540273
1626739200,5736.787351
1626825600,7015.460407
1626912000,3195.953482
1626998400,3315.937271
1627084800,3837.580029
1627171200,4211.715291
1627257600,14289.81565
1627344000,5814.586528
1627430400,10204.29668
1627516800,7426.289788
1627603200,7827.632281
1627689600,5998.435341
1627776000,6954.815707
1627862400,7322.651607
1627948800,9409.253686
1628035200,8237.943605
1628121600,11157.85066
1628208000,8763.529797
1628294400,8627.304995
1628380800,8537.076403
1628467200,8085.296607
1628553600,6779.477638
1628640000,7747.788651
1628726400,9192.453831
1628812800,8336.13666
1628899200,6694.704778
1628985600,7678.105958
1629072000,8359.568845
1629158400,10364.85476
1629244800,9612.961216
1629331200,7484.638184
1629417600,8176.260995
1629504000,6768.85612
1629590400,5837.809344
1629676800,7307.733753
1629763200,5984.484737
1629849600,5161.238488
1629936000,5598.124903
1630022400,4688.521157
1630108800,3402.158439
1630195200,3788.926548
1630281600,5341.600553
1630368000,4731.180138
1630454400,4873.048889
1630540800,5367.264064
1630627200,6003.219297
1630713600,3477.480773
1630800000,4140.772561
1630886400,4852.819262
1630972800,13187.294
1631059200,7685.283624
1631145600,6062.007279
1631232000,6607.545002
1631318400,4366.433138
1631404800,4385.264292
1631491200,7825.823696
1631577600,5153.127186
1631664000,4884.582592
1631750400,4775.77759
1631836800,4531.789644
1631923200,3753.400818
1632009600,4115.614825
1632096000,11363.96804
1632182400,10803.35199
1632268800,6697.439127
1632355200,5665.939999
1632441600,10094.67597
1632528000,4546.950083
1632614400,5662.433271
1632700800,4908.211444
1632787200,5184.515085
